========================================================================================================================
FOUND ZONES - CONSOLIDATED REPORT
Generated: 2026-09-15 06:50:36
========================================================================================================================

Total Zones Found: 379
Sorted by: Distance to Demand Zone (closest first)

 34. JBHT   | $  274.41 | Demand: $264.49-$274.72 | Supply: $287.01-$292.44 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.27 | Fresh: D✗S✓
 35. KMI    | $   30.91 | Demand: $30.51-$31.14 | Supply: $32.98-$33.34 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.18 | Fresh: D✗S✓
 36. LEN    | $   79.42 | Demand: $76.63-$80.50 | Supply: $89.68-$95.22 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:3.68 | Fresh: D✗S✓
 37. KR     | $   60.82 | Demand: $55.59-$61.27 | Supply: $56.32-$64.06 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-0.86 | Fresh: D✗S✗
 38. LITE   | $  875.00 | Demand: $776.01-$884.18 | Supply: $853.78-$961.68 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-0.21 | Fresh: D✗S✗
 39. LULU   | $   98.74 | Demand: $95.67-$99.03 | Supply: $115.88-$124.38 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.58 | Fresh: D✗S✓
 40. LYV    | $  171.07 | Demand: $167.50-$175.00 | Supply: $167.50-$175.00 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-1.00 | Fresh: D✗S✗
 41. LUV    | $   39.52 | Demand: $37.58-$39.63 | Supply: $44.00-$45.70 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.31 | Fresh: D✗S✓
 42. MDLZ   | $   62.06 | Demand: $61.40-$63.53 | Supply: $62.95-$64.35 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.34 | Fresh: D✗S✗
 43. MO     | $   68.62 | Demand: $66.83-$69.77 | Supply: $71.14-$73.75 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.41 | Fresh: D✗S✓
