========================================================================================================================
FOUND ZONES - AGGRESSIVE SENSITIVITY
Generated: 2026-09-22 21:52:17
========================================================================================================================

Total Zones Found: 225
Sorted by: Distance to Demand Zone (closest first)

 35. PNR    | $   59.59 | Demand: $55.34-$56.41 | Supply: $72.76-$75.08 | Dist: $  3.18 (222% ATR) [ ] | RR: 1:3.10 | Fresh: D✗S✓
 36. AIG    | $   78.11 | Demand: $72.26-$74.85 | Supply: $76.96-$78.91 | Dist: $  3.26 (237% ATR) [ ] | RR: 1:-0.20 | Fresh: D✗S✗
 37. SO     | $   90.45 | Demand: $85.87-$87.04 | Supply: $92.48-$93.37 | Dist: $  3.41 (242% ATR) [ ] | RR: 1:0.44 | Fresh: D✗S✓
 38. AOS    | $   60.89 | Demand: $56.50-$57.46 | Supply: $61.66-$63.03 | Dist: $  3.43 (290% ATR) [ ] | RR: 1:0.18 | Fresh: D✗S✓
 39. BXP    | $   67.73 | Demand: $63.21-$64.30 | Supply: $68.14-$70.21 | Dist: $  3.44 (249% ATR) [ ] | RR: 1:0.09 | Fresh: D✗S✓
 40. T      | $   25.19 | Demand: $21.25-$21.70 | Supply: $25.08-$26.84 | Dist: $  3.49 (590% ATR) [ ] | RR: 1:-0.03 | Fresh: D✓S✗
 41. FITB   | $   57.11 | Demand: $52.72-$53.55 | Supply: $57.41-$58.46 | Dist: $  3.56 (282% ATR) [ ] | RR: 1:0.07 | Fresh: D✗S✓
 42. SYY    | $   83.43 | Demand: $78.50-$79.70 | Supply: $83.03-$85.28 | Dist: $  3.73 (200% ATR) [ ] | RR: 1:-0.08 | Fresh: D✗S✗
 43. SRE    | $   85.53 | Demand: $80.84-$81.71 | Supply: $88.37-$89.69 | Dist: $  3.82 (249% ATR) [ ] | RR: 1:0.61 | Fresh: D✗S✓
 44. NWSA   | $   30.84 | Demand: $26.32-$27.01 | Supply: $30.66-$31.66 | Dist: $  3.83 (535% ATR) [ ] | RR: 1:-0.04 | Fresh: D✓S✗
 45. MGM    | $   40.69 | Demand: $35.38-$36.85 | Supply: $43.12-$43.67 | Dist: $  3.84 (446% ATR) [ ] | RR: 1:0.46 | Fresh: D✓S✓
 46. APA    | $   44.42 | Demand: $39.08-$40.51 | Supply: $44.19-$47.44 | Dist: $  3.91 (247% ATR) [ ] | RR: 1:-0.04 | Fresh: D✓S✗
 47. XYL    | $  112.29 | Demand: $105.54-$108.31 | Supply: $119.28-$121.39 | Dist: $  3.98 (162% ATR) [ ] | RR: 1:1.04 | Fresh: D✗S✓
 48. ED     | $  110.25 | Demand: $105.05-$106.06 | Supply: $111.81-$115.23 | Dist: $  4.19 (234% ATR) [ ] | RR: 1:0.30 | Fresh: D✗S✓
 49. LYB    | $   62.74 | Demand: $54.33-$58.54 | Supply: $70.49-$74.78 | Dist: $  4.20 (196% ATR) [ ] | RR: 1:0.92 | Fresh: D✓S✓
 50. MKC    | $   52.14 | Demand: $46.29-$47.91 | Supply: $49.91-$53.87 | Dist: $  4.23 (346% ATR) [ ] | RR: 1:-0.38 | Fresh: D✓S✗
 51. CMG    | $   34.75 | Demand: $29.10-$30.48 | Supply: $35.66-$36.63 | Dist: $  4.27 (363% ATR) [ ] | RR: 1:0.16 | Fresh: D✓S✓
 52. AEE    | $  107.42 | Demand: $101.57-$102.98 | Supply: $110.56-$111.55 | Dist: $  4.44 (280% ATR) [ ] | RR: 1:0.54 | Fresh: D✗S✓
 53. MOS    | $   26.19 | Demand: $20.82-$21.67 | Supply: $25.40-$26.95 | Dist: $  4.52 (408% ATR) [ ] | RR: 1:-0.15 | Fresh: D✓S✗
 54. LUV    | $   44.09 | Demand: $37.59-$39.05 | Supply: $44.02-$45.69 | Dist: $  5.04 (410% ATR) [ ] | RR: 1:-0.01 | Fresh: D✓S✗
 55. VLTO   | $  101.84 | Demand: $95.23-$96.75 | Supply: $97.09-$101.95 | Dist: $  5.09 (290% ATR) [ ] | RR: 1:-0.72 | Fresh: D✗S✗
 56. MS     | $  209.25 | Demand: $197.13-$203.92 | Supply: $214.31-$218.41 | Dist: $  5.33 ( 94% ATR) [ ] | RR: 1:0.42 | Fresh: D✗S✓
 57. VZ     | $   49.27 | Demand: $42.91-$43.87 | Supply: $50.94-$51.66 | Dist: $  5.41 (459% ATR) [ ] | RR: 1:0.26 | Fresh: D✓S✓
 58. DECK   | $   85.80 | Demand: $77.38-$80.28 | Supply: $99.16-$101.28 | Dist: $  5.52 (207% ATR) [ ] | RR: 1:1.59 | Fresh: D✗S✓
 59. SYF    | $   77.12 | Demand: $68.45-$71.54 | Supply: $77.26-$79.62 | Dist: $  5.58 (278% ATR) [ ] | RR: 1:0.02 | Fresh: D✓S✓
 60. CFG    | $   74.11 | Demand: $66.61-$68.25 | Supply: $71.83-$74.69 | Dist: $  5.86 (293% ATR) [ ] | RR: 1:-0.30 | Fresh: D✗S✗
 61. KR     | $   63.26 | Demand: $56.37-$57.37 | Supply: $63.62-$65.01 | Dist: $  5.89 (335% ATR) [ ] | RR: 1:0.05 | Fresh: D✓S✓
 62. FTV    | $   61.89 | Demand: $54.38-$55.66 | Supply: $60.41-$63.00 | Dist: $  6.23 (453% ATR) [ ] | RR: 1:-0.20 | Fresh: D✗S✗
 63. HONA   | $  175.68 | Demand: $158.17-$169.36 | Supply: $270.00-$272.50 | Dist: $  6.32 (105% ATR) [ ] | RR: 1:5.39 | Fresh: D✗S✓
