========================================================================================================================
FOUND ZONES - BALANCED SENSITIVITY
Generated: 2026-09-23 06:35:35
========================================================================================================================

Total Zones Found: 120
Sorted by: Distance to Demand Zone (closest first)

 35. KO     | $   90.51 | Demand: $81.31-$82.39 | Supply: $91.31-$92.48 | Dist: $  8.12 (661% ATR) [ ] | RR: 1:0.09 | Fresh: D✓S✓
 36. CRWV   | $   88.78 | Demand: $72.09-$80.58 | Supply: $118.82-$132.00 | Dist: $  8.20 (149% ATR) [ ] | RR: 1:1.80 | Fresh: D✓S✓
 37. PRU    | $  117.58 | Demand: $107.43-$109.27 | Supply: $124.39-$126.19 | Dist: $  8.31 (397% ATR) [ ] | RR: 1:0.67 | Fresh: D✓S✓
 38. DHI    | $  149.79 | Demand: $137.42-$140.37 | Supply: $162.07-$165.69 | Dist: $  9.42 (241% ATR) [ ] | RR: 1:0.99 | Fresh: D✗S✓
 39. SW     | $   49.67 | Demand: $37.21-$40.17 | Supply: $48.27-$50.19 | Dist: $  9.50 (606% ATR) [ ] | RR: 1:-0.11 | Fresh: D✓S✗
 40. SPG    | $  215.66 | Demand: $202.94-$205.96 | Supply: $218.84-$221.53 | Dist: $  9.70 (272% ATR) [ ] | RR: 1:0.25 | Fresh: D✗S✓
 41. UAL    | $  119.60 | Demand: $107.19-$109.80 | Supply: $124.64-$128.00 | Dist: $  9.80 (265% ATR) [ ] | RR: 1:0.41 | Fresh: D✓S✓
 42. DLR    | $  195.30 | Demand: $181.48-$185.02 | Supply: $197.91-$201.40 | Dist: $ 10.28 (220% ATR) [ ] | RR: 1:0.19 | Fresh: D✗S✓
 43. RDDT   | $  163.79 | Demand: $139.64-$153.34 | Supply: $166.80-$182.46 | Dist: $ 10.45 (147% ATR) [ ] | RR: 1:0.12 | Fresh: D✗S✓
 44. SMCI   | $   42.05 | Demand: $29.34-$31.34 | Supply: $43.55-$51.35 | Dist: $ 10.71 (464% ATR) [ ] | RR: 1:0.12 | Fresh: D✓S✓
 45. MMM    | $  176.88 | Demand: $162.91-$166.05 | Supply: $177.19-$180.79 | Dist: $ 10.83 (295% ATR) [ ] | RR: 1:0.02 | Fresh: D✗S✓
 46. STLD   | $  245.70 | Demand: $216.53-$234.71 | Supply: $259.56-$264.68 | Dist: $ 10.99 (147% ATR) [ ] | RR: 1:0.48 | Fresh: D✗S✓
 47. IRM    | $  126.36 | Demand: $112.04-$115.19 | Supply: $126.22-$130.04 | Dist: $ 11.17 (349% ATR) [ ] | RR: 1:-0.01 | Fresh: D✗S✗
