TICKER   PRICE      ATR      DEMAND_ZONE               SUPPLY_ZONE               GAP      D_SIZE   RATIO   
ALNY     $265.90    $15.66   $197.81-$207.99           $285.22-$299.70           $77.23   $10.18   0.132  
JPM      $371.59    $6.17    $308.88-$314.72           $358.20-$363.00           $43.48   $5.84    0.134  
ICE      $171.86    $3.85    $138.74-$141.47           $161.05-$164.66           $19.58   $2.73    0.140  
XYZ      $82.94     $2.66    $68.68-$70.15             $80.61-$84.02             $10.46   $1.47    0.141  
TMO      $655.20    $17.26   $466.80-$484.24           $607.37-$634.70           $123.13  $17.44   0.142  
DE       $706.34    $17.14   $556.62-$571.72           $677.66-$700.64           $105.94  $15.10   0.143  
JKHY     $173.57    $4.39    $121.04-$126.96           $167.97-$174.99           $41.01   $5.92    0.144  
BAX      $25.20     $1.37    $20.04-$20.98             $27.48-$28.38             $6.50    $0.95    0.145  
NOW      $145.53    $7.14    $91.48-$97.44             $137.80-$149.60           $40.36   $5.96    0.148  
VRSN     $318.17    $10.00   $244.74-$251.04           $293.29-$303.00           $42.25   $6.30    0.149  
PRU      $127.05    $2.67    $104.99-$106.97           $119.99-$124.57           $13.02   $1.98    0.152  
PAYX     $123.90    $3.55    $98.69-$101.77            $121.87-$125.90           $20.11   $3.08    0.153  
ALB      $121.41    $4.75    $112.22-$118.56           $159.74-$174.33           $41.18   $6.34    0.154  
PLTR     $177.80    $9.57    $127.35-$133.19           $170.87-$179.60           $37.69   $5.84    0.155  
NXPI     $239.40    $11.55   $218.24-$229.06           $298.12-$320.97           $69.06   $10.82   0.157  
BR       $181.43    $6.41    $144.19-$147.12           $165.81-$174.49           $18.68   $2.94    0.157  
CCEP     $119.50    $2.79    $96.62-$97.83             $105.44-$108.07           $7.61    $1.21    0.159  
VLTO     $105.35    $2.35    $82.32-$83.84             $93.30-$96.67             $9.46    $1.52    0.161  
MTD      $1374.87   $33.95   $1146.01-$1175.52         $1358.58-$1412.36         $183.06  $29.51   0.161  
VRTX     $546.39    $15.10   $433.80-$445.78           $519.82-$546.17           $74.04   $11.98   0.162  
NSC      $341.36    $7.43    $307.50-$311.71           $337.72-$342.53           $26.01   $4.21    0.162  
CMG      $38.33     $1.58    $29.77-$30.81             $37.18-$39.09             $6.37    $1.04    0.163  
MSFT     $522.74    $17.88   $382.27-$391.74           $449.33-$499.44           $57.59   $9.47    0.164  
AXON     $508.20    $34.49   $436.36-$462.99           $623.96-$665.07           $160.97  $26.63   0.165  
CRM      $267.60    $9.04    $163.31-$175.53           $249.00-$263.53           $73.47   $12.22   0.166  
AMCR     $45.65     $1.21    $38.15-$38.98             $43.97-$45.03             $4.98    $0.84    0.168  
STE      $224.70    $5.96    $198.01-$203.05           $233.01-$241.39           $29.96   $5.04    0.168  
DG       $132.04    $3.88    $107.59-$110.94           $130.71-$134.12           $19.77   $3.34    0.169  
DASH     $212.63    $8.62    $150.85-$161.95           $227.00-$238.52           $65.05   $11.10   0.171  
XLV      $172.69    $2.89    $148.79-$151.27           $165.55-$169.66           $14.28   $2.48    0.174  
ALL      $269.07    $6.61    $219.37-$225.26           $258.90-$277.22           $33.63   $5.89    0.175  
CEG      $292.17    $10.22   $240.51-$248.31           $292.75-$305.80           $44.44   $7.80    0.176  
GRMN     $299.25    $11.06   $230.86-$239.12           $285.96-$304.00           $46.84   $8.26    0.176  
UNP      $301.04    $6.92    $264.56-$269.75           $298.10-$303.15           $28.35   $5.19    0.183  
TSCO     $35.17     $1.13    $29.45-$30.31             $34.96-$36.67             $4.65    $0.86    0.184  
KO       $94.48     $1.83    $78.74-$80.33             $88.95-$92.21             $8.62    $1.59    0.184  
COHR     $299.15    $35.62   $273.87-$289.93           $376.55-$439.68           $86.62   $16.06   0.185  
TYL      $364.35    $14.55   $294.08-$305.66           $367.76-$382.39           $62.10   $11.58   0.186  
AAPL     $350.86    $9.37    $287.38-$294.75           $334.02-$342.89           $39.27   $7.37    0.188  
BAC      $65.78     $0.96    $55.74-$57.00             $63.71-$64.95             $6.71    $1.26    0.188  
EFX      $180.60    $7.04    $152.95-$156.43           $174.73-$190.15           $18.30   $3.48    0.190  
CTAS     $216.30    $4.63    $178.60-$182.27           $201.56-$209.72           $19.29   $3.67    0.190  
DHR      $214.10    $6.83    $174.22-$178.51           $200.78-$209.37           $22.27   $4.29    0.193  
CDW      $162.75    $7.57    $126.28-$130.02           $149.16-$158.04           $19.14   $3.74    0.195  
ACGL     $105.00    $2.29    $91.02-$91.89             $96.35-$98.36             $4.46    $0.88    0.196  
JNJ      $282.98    $5.83    $237.05-$241.60           $264.79-$274.90           $23.19   $4.55    0.196  
WMT      $113.77    $2.58    $102.15-$104.28           $115.09-$118.58           $10.81   $2.13    0.197  
HST      $23.68     $0.68    $21.51-$22.00             $24.49-$24.89             $2.48    $0.49    0.199  
MCHP     $74.55     $4.65    $70.45-$74.06             $91.90-$100.96            $17.84   $3.61    0.202  
RVTY     $132.30    $3.59    $98.42-$103.03            $125.46-$130.07           $22.43   $4.61    0.205  
IFF      $89.17     $2.69    $75.06-$76.56             $83.76-$86.92             $7.20    $1.50    0.208  
CTSH     $66.45     $2.95    $40.77-$44.57             $62.71-$65.42             $18.14   $3.80    0.209  
FLEX     $116.34    $8.66    $104.90-$112.44           $148.36-$152.52           $35.92   $7.54    0.210  
COR      $347.41    $8.29    $279.06-$284.93           $312.67-$333.95           $27.74   $5.86    0.211  
MSI      $506.00    $12.70   $389.41-$401.23           $457.00-$479.84           $55.77   $11.82   0.212  
PFE      $29.48     $0.54    $23.62-$24.34             $27.64-$28.43             $3.30    $0.72    0.218  
EG       $396.08    $8.59    $333.60-$339.91           $368.86-$378.86           $28.95   $6.31    0.218  
ROP      $420.00    $14.87   $330.58-$339.71           $381.28-$410.26           $41.57   $9.12    0.220  
GIS      $38.26     $1.09    $33.63-$34.31             $37.39-$39.11             $3.08    $0.68    0.223  
ABT      $108.99    $2.69    $87.07-$90.37             $104.92-$109.33           $14.55   $3.30    0.227  
NDAQ     $97.65     $2.07    $76.76-$79.85             $93.26-$96.87             $13.41   $3.09    0.230  
GPN      $95.32     $2.92    $65.53-$70.50             $92.00-$95.58             $21.50   $4.97    0.231  
PANW     $364.83    $14.40   $271.49-$281.98           $327.35-$358.10           $45.37   $10.49   0.231  
MDT      $98.81     $2.14    $80.16-$82.34             $91.73-$94.72             $9.39    $2.18    0.232  
GILD     $152.86    $3.81    $121.39-$125.64           $143.89-$148.97           $18.25   $4.25    0.233  
WELL     $250.64    $5.15    $207.90-$214.33           $241.79-$247.45           $27.46   $6.43    0.234  
FDS      $282.44    $10.56   $207.96-$224.26           $293.58-$308.46           $69.32   $16.30   0.235  
COF      $218.72    $5.05    $174.24-$182.35           $216.42-$223.62           $34.06   $8.11    0.238  
EL       $103.42    $2.53    $82.38-$85.97             $100.77-$107.43           $14.80   $3.59    0.243  
APD      $309.23    $6.32    $276.38-$281.75           $303.83-$314.28           $22.07   $5.38    0.243  
CHRW     $169.05    $8.89    $143.16-$151.22           $184.33-$192.50           $33.11   $8.06    0.244  
ULTA     $575.68    $14.58   $469.12-$482.20           $535.29-$566.73           $53.09   $13.08   0.246  
STT      $204.21    $3.95    $165.42-$170.54           $191.01-$195.18           $20.47   $5.12    0.250  
TXN      $270.27    $11.06   $255.18-$263.33           $295.85-$315.86           $32.51   $8.15    0.251  
ISRG     $391.97    $12.03   $342.10-$355.08           $406.82-$426.20           $51.74   $12.98   0.251  
V        $392.22    $7.49    $317.96-$326.44           $360.10-$373.97           $33.67   $8.48    0.252  
IT       $198.33    $11.00   $124.25-$135.40           $178.75-$192.79           $43.35   $11.15   0.257  
INTC     $100.99    $7.38    $95.48-$101.88            $126.66-$132.61           $24.78   $6.40    0.258  
ZBH      $102.38    $3.04    $86.01-$88.43             $97.61-$101.16            $9.18    $2.42    0.263  
HSIC     $93.45     $1.95    $78.78-$80.51             $87.06-$92.18             $6.55    $1.73    0.264  
ABBV     $274.66    $6.41    $215.37-$223.50           $253.60-$261.63           $30.10   $8.13    0.270  
EXPE     $302.51    $13.74   $216.18-$229.74           $279.92-$312.40           $50.18   $13.56   0.270  
PFG      $124.49    $2.11    $108.74-$110.25           $115.82-$121.18           $5.57    $1.51    0.271  
AJG      $262.56    $7.71    $208.08-$217.87           $253.82-$261.27           $35.95   $9.79    0.272  
IVZ      $34.33     $0.92    $25.59-$27.07             $32.50-$33.66             $5.43    $1.48    0.273  
SOLV     $93.19     $2.76    $74.30-$77.83             $90.75-$94.16             $12.92   $3.53    0.273  
FAST     $52.50     $1.15    $44.64-$46.08             $51.28-$52.91             $5.20    $1.44    0.277  
DIS      $112.24    $2.52    $99.53-$101.77            $109.76-$111.87           $7.99    $2.23    0.279  
CAH      $249.27    $5.18    $211.45-$218.96           $245.82-$249.29           $26.86   $7.51    0.280  
CBRE     $148.25    $4.57    $130.77-$134.56           $148.10-$151.98           $13.54   $3.79    0.280  
ANET     $197.82    $10.75   $145.32-$154.97           $189.43-$214.89           $34.46   $9.65    0.280  
